0.001,0.000115,"0,0005"
0.002,0.000226,"0,0015"
0.003,0.000332,"0,0025"
0.004,0.000434,"0,0035"
0.005,0.00053,"0,0045"
0.006,0.000622,"0,0055"
0.007,0.000709,"0,0065"
0.008,0.000792,"0,0075"
0.009,0.000869,"0,0085"
0.01,0.000942,"0,0095"
0.011,0.001011,"0,0105"
0.012,0.001074,"0,0115"
0.013,0.001133,"0,0125"
0.014,0.001187,"0,0135"
0.015,0.001237,"0,0145"
0.016,0.001282,"0,0155"
0.017,0.001322,"0,0165"
0.018,0.001357,"0,0175"
0.019,0.001388,"0,0185"
0.02,0.001414,"0,0195"
0.021,0.001435,"0,0205"
0.022,0.001451,"0,0215"
0.023,0.001463,"0,0225"
0.024,0.00147,"0,0235"
0.025,0.001472,"0,0245"
0.026,0.00147,"0,0255"
0.027,0.001463,"0,0265"
0.028,0.001451,"0,0275"
0.029,0.001435,"0,0285"
0.03,0.001414,"0,0295"
0.031,0.001388,"0,0305"
0.032,0.001357,"0,0315"
0.033,0.001322,"0,0325"
0.034,0.001282,"0,0335"
0.035,0.001237,"0,0345"
0.036,0.001187,"0,0355"
0.037,0.001133,"0,0365"
0.038,0.001074,"0,0375"
0.039,0.001011,"0,0385"
0.04,0.000942,"0,0395"
0.041,0.000869,"0,0405"
0.042,0.000792,"0,0415"
0.043,0.000709,"0,0425"
0.044,0.000622,"0,0435"
0.045,0.00053,"0,0445"
0.046,0.000434,"0,0455"
0.047,0.000332,"0,0465"
0.048,0.000226,"0,0475"
0.049,0.000115,"0,0485"
0.05,0.0,"0,0495"